From	To
Q9C0H5	ARHGAP39
Q9C0E2	XPO4
Q9C0D4	ZNF518B
Q9C0D3	ZYG11B
Q9C0C9	UBE2O
Q9C0C2	TNKS1BP1
Q9C0B1	FTO
Q9C0B0	UNK
Q9C005	DPY30
Q9BZZ5	API5
Q9BZX2	UCK2
Q9BZQ6	EDEM3
Q9BZM1	PLA2G12A
Q9BZL1	UBL5
Q9BZK7	TBL1XR1
Q9BZK3	NACA4P
Q9BZJ0	CRNKL1
Q9BZI7	UPF3B
Q9BZH6	WDR11
Q9BZG8	DPH1
Q9BZE9	ASPSCR1
Q9BZE4	GTPBP4
Q9BZE1	MRPL37
Q9BZD4	NUF2
Q9BZ71	PITPNM3
Q9BZ23	PANK2
Q9BYV8	CEP41
Q9BYT8	NLN
Q9BYN8	MRPS26
Q9BYN0	SRXN1
Q9BYJ9	YTHDF1
Q9BYG5	PARD6B
Q9BYG3	NIFK
Q9BYE0	HES7
Q9BYD6	MRPL1
Q9BYD3	MRPL4
Q9BYD1	MRPL13
Q9BYC9	MRPL20
Q9BYB4	GNB1L
Q9BY77	POLDIP3
Q9BY67	CADM1
Q9BY44	EIF2A
Q9BY43	CHMP4A
Q9BY42	RTF2
Q9BY41	HDAC8
Q9BY32	ITPA
Q9BXW9	FANCD2
Q9BXW7	HDHD5
Q9BXW6	OSBPL1A
Q9BXV9	GON7
Q9BXS5	AP1M1
Q9BXR0	QTRT1
Q9BXP5	SRRT
Q9BXJ9	NAA15
Q9BXB7	SPATA16
Q9BX68	HINT2
Q9BX40	LSM14B
Q9BWU0	SLC4A1AP
Q9BWS9	CHID1
Q9BWK5	CYREN
Q9BWJ5	SF3B5
Q9BWH6	RPAP1
Q9BWG6	SCNM1
Q9BWF3	RBM4
Q9BWD1	ACAT2
Q9BW92	TARS2
Q9BW91	NUDT9
Q9BW85	YJU2
Q9BW83	IFT27
Q9BW71	HIRIP3
Q9BW62	KATNAL1
Q9BW30	TPPP3
Q9BW27	NUP85
Q9BVW5	TIPIN
Q9BVQ7	SPATA5L1
Q9BVP2	GNL3
Q9BVM2	DPCD
Q9BVL4	SELENOO
Q9BVL2	NUP58
Q9BVJ6	UTP14A
Q9BVI4	NOC4L
Q9BVG4	PBDC1
Q9BVC5	C2orf49
Q9BVC4	MLST8
Q9BVC3	DSCC1
Q9BVA1	TUBB2B
Q9BV86	NTMT1
Q9BV79	MECR
Q9BV68	RNF126
Q9BV57	ADI1
Q9BV44	THUMPD3
Q9BV38	WDR18
Q9BV35	SLC25A23
Q9BV29	CCDC32
Q9BV20	MRI1
Q9BV19	C1orf50
Q9BUZ4	TRAF4
Q9BUT9	MCRIP2
Q9BUT1	BDH2
Q9BUR4	WRAP53
Q9BUQ8	DDX23
Q9BUP0	EFHD1
Q9BUL8	PDCD10
Q9BUL5	PHF23
Q9BUK6	MSTO1
Q9BUJ2	HNRNPUL1
Q9BUI4	POLR3C
Q9BUH6	PAXX
Q9BUF5	TUBB6
